coupling,DeltaE1,DeltaE2
0.0,1.9999999999997122,1.999999999999801
0.02,1.9617990030683252,1.9617990030683892
0.04,1.9280465780108074,1.928046578010811
0.06,1.900131078442321,1.9001310784423673
0.08,1.8795577843904852,1.8795577843905953
0.1,1.8678810603336657,1.8678810603340388
0.12,1.8666044277016098,1.8666044277016773
0.14,1.8770569976138844,1.8770569976142255
0.16,1.900266118333775,1.9002661183340273
0.18,1.9368538660821386,1.9368538660827106
0.2,1.9869832509051193,1.986983250905542
0.22,2.050367166385225,2.0503671663857155
0.24,2.1263345643037077,2.126334564304038
0.26,2.2139332387385373,2.213933238738896
0.28,2.3120433339593234,2.3120433339599735
0.3,2.4194801158554817,2.419480115856043
0.32,2.535073856512792,2.5350738565130406
0.34,2.6577237089719077,2.657723708972103
0.36,2.786428414056825,2.786428414057074
0.38,2.9202992922249322,2.9202992922255326
0.4,3.0585612238151434,3.0585612238155235
0.42,3.2005463860986794,3.200546386099166
0.44,3.3456842385437895,3.3456842385445107
0.46,3.4934900733808476,3.493490073381057
0.48,3.643553538453368,3.6435535384539754
0.5,3.795527903808143,3.7955279038081464
0.52,3.949120432411135,3.949120432411682
0.54,4.104083967185389,4.10408396718595
0.56,4.26020970730621,4.260209707306622
0.58,4.417321076514774,4.417321076514966
0.6,4.575268557317948,4.575268557318097
0.62,4.733925359506308,4.733925359506358
0.64,4.8931837982785495,4.893183798278628
0.66,5.052952269807825,5.05295226980801
0.68,5.213152726509982,5.213152726510174
0.7000000000000001,5.373718568539566,5.373718568539751
0.72,5.534592881183649,5.534592881183663
0.74,5.695726959397547,5.695726959397668
0.76,5.857079070678772,5.857079070678886
0.78,6.0186134158721885,6.018613415872238
0.8,6.180299254537488,6.18029925453763
0.8200000000000001,6.34211016731102,6.342110167311091
0.84,6.504023432520867,6.50402343252096
0.86,6.666019498254329,6.66601949825462
0.88,6.828081534337798,6.8280815343379615
0.9,6.990195051347975,6.990195051348039
0.92,7.152347575980329,7.152347575980507
0.9400000000000001,7.314528373893374,7.314528373893637
0.96,7.476728212629091,7.476728212629226
0.98,7.63893915844951,7.638939158449517
1.0,7.801154401914182,7.801154401914317
1.02,7.96336810789245,7.963368107892791
1.04,8.125575286352579,8.125575286352742
1.06,8.287771680892476,8.287771680892796
1.08,8.449953672419724,8.449953672419987
1.1,8.612118195805195,8.612118195805266
1.12,8.774262667660757,8.774262667660793
1.1400000000000001,8.936384923678617,8.936384923678617
1.16,9.098483164197269,9.098483164197347
1.18,9.2605559068556,9.260555906856013
1.2,9.422601945374907,9.422601945375007
1.22,9.584620313626587,9.58462031362663
1.24,9.746610254294922,9.746610254295277
1.26,9.908571191503597,9.908571191503668
1.28,10.070502706900427,10.070502706900967
1.3,10.232404518745227,10.232404518745284
1.32,10.39427646360079,10.394276463601031
1.34,10.556118480309166,10.556118480309593
1.36,10.717930595953732,10.717930595953916
1.3800000000000001,10.87971291355015,10.879712913550293
1.4000000000000001,11.04146560126351,11.041465601263596
1.42,11.203188882945653,11.203188882945824
1.44,11.364883029842503,11.364883029842659
1.46,11.526548353315505,11.526548353315505
1.48,11.688185198463557,11.688185198463671
1.5,11.84979393852764,11.849793938527796
1.52,12.01137496998733,12.011374969987344
1.54,12.17292870826708,12.172928708267122
1.56,12.334455583970382,12.334455583970438
1.58,12.495956039597871,12.495956039598127
1.6,12.657430526664982,12.657430526665436
1.62,12.818879503194836,12.818879503195248
1.6400000000000001,12.980303431527958,12.980303431528014
1.6600000000000001,13.141702776423685,13.141702776424154
1.68,13.303078003405048,13.303078003405346
1.7,13.464429577323926,13.464429577324026
1.72,13.62575796112857,13.625757961128869
1.74,13.787063614797248,13.787063614797333
1.76,13.948346994426089,13.948346994426828
1.78,14.109608551451117,14.109608551451416
1.8,14.27084873198585,14.270848731985865
1.82,14.432067976265841,14.432067976266111
1.84,14.593266718187692,14.593266718188417
1.86,14.754445384920231,14.754445384920388
1.8800000000000001,14.915604396592983,14.91560439659348
1.9000000000000001,15.076744166050602,15.076744166051043
1.92,15.237865098653273,15.23786509865333
1.94,15.39896759213093,15.398967592131314
1.96,15.560052036481125,15.560052036481167
1.98,15.721118813897249,15.721118813898173
2.0,15.88216829873943,15.882168298739487
