couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,gapE9,gapE10,gapE11,gapE12,gapE13,gapE14,gapE15,gapE16,gapE17,gapE18,gapE19,gapE20,gapE21,gapE22,gapE23,gapE24,gapE25,gapE26,gapE27,gapE28,gapE29,gapE30,gapE31,gapE32,gapE33,gapE34,gapE35,gapE36,gapE37,gapE38,elec,magn
0.0,-8.041160971190248e-15,-7.259880570090129e-15,-7.11412405073891e-15,-4.98783012018691e-15,-4.951848877220982e-15,-4.551914400963142e-15,-4.0593746848750715e-15,-3.844633703352676e-15,-3.552713678800508e-15,-2.917074307441093e-15,-2.8835932556318904e-15,-1.7804635873791334e-15,-1.5650207414358115e-15,-1.26365506065421e-15,-1.214809712020796e-15,-8.88178420891497e-16,-4.726082541553051e-16,-1.9166252029302027e-16,-3.623241404069151e-30,8.750115037218754e-16,1.1323091921542294e-15,1.8973752723762077e-15,2.7513520320204215e-15,2.9158958372822427e-15,3.019464537581554e-15,3.2232044659297735e-15,3.5988706329574955e-15,3.612473547295186e-15,3.834244393670544e-15,4.36612808710842e-15,5.333012599531043e-15,7.105591412765463e-15,7.9999999999999325,7.999999999999936,7.999999999999938,7.99999999999994,7.999999999999943,7.999999999999945,7.999999999999953,7.999999999999954,7.812804011001193e-16,9.27036920451338e-16,3.053330851003338e-15,3.0893120939692658e-15,3.4892465702271062e-15,3.9817862863151765e-15,4.196527267837572e-15,4.48844729238974e-15,5.124086663749155e-15,5.157567715558358e-15,6.260697383811115e-15,6.4761402297544366e-15,6.777505910536038e-15,6.8263512591694525e-15,7.15298255029875e-15,7.568552717034943e-15,7.849498450897228e-15,8.041160971190245e-15,8.916172474912123e-15,9.173470163344477e-15,9.938536243566456e-15,1.079251300321067e-14,1.095705680847249e-14,1.1060625508771802e-14,1.126436543712002e-14,1.1640031604147744e-14,1.1653634518485434e-14,1.1875405364860793e-14,1.2407289058298668e-14,1.3374173570721292e-14,1.5146752383955713e-14,7.9999999999999405,7.999999999999944,7.999999999999946,7.999999999999948,7.999999999999951,7.999999999999953,7.999999999999961,7.999999999999962,5.109036455991821e-30,-2.1138647909881323e-17
0.01,-0.00020202267122549378,-0.00020202101792305332,-0.00020202101792107693,-0.00020202097497904042,-0.00010101031573218222,-0.00010101031572722069,-0.00010101031572226834,-0.00010101031571982688,-0.00010101031571913147,-0.00010101031571899668,-0.00010101031571842262,-0.00010101031571798192,-0.00010101029426155712,-0.00010101029425681555,-0.00010101029425527006,-0.00010101029425412986,-0.00010101029425336688,-0.00010101029424964956,-0.000101010294248286,-0.00010101029424592686,-0.00010101010101920851,-0.00010101010101509693,-0.00010101010101184438,-0.00010101010100447693,-0.00010101010100304432,-0.00010101010100228565,-0.0001010101010006434,-0.00010101010100061638,-7.120096763338766e-15,-1.0863116283549237e-15,-5.201973639654785e-16,1.46965445434436e-14,7.919461283277955,7.91946128327796,7.919461283888529,7.919461283888542,7.919730622171471,7.919730622171485,7.9197306235456155,7.91973063041668,1.6533024404543056e-09,1.6533044168464458e-09,1.6962464533562364e-09,0.00010101235549331156,0.00010101235549827309,0.00010101235550322544,0.0001010123555056669,0.0001010123555063623,0.0001010123555064971,0.00010101235550707116,0.00010101235550751186,0.00010101237696393666,0.00010101237696867823,0.00010101237697022371,0.00010101237697136392,0.0001010123769721269,0.00010101237697584422,0.00010101237697720778,0.00010101237697956692,0.00010101257020628527,0.00010101257021039685,0.0001010125702136494,0.00010101257022101685,0.00010101257022244946,0.00010101257022320813,0.00010101257022485037,0.0001010125702248774,0.00020202267121837369,0.00020202267122440746,0.00020202267122497358,0.00020202267124019033,7.9196633059491806,7.919663305949186,7.919663306559754,7.919663306559768,7.919932644842697,7.919932644842711,7.919932646216841,7.919932653087906,0.00020406829257243447,-0.04040502808602769
0.02,-0.0008163672606651179,-0.0008163399892391395,-0.0008163399892359321,-0.0008163392808498305,-0.0004081668068647156,-0.0004081668068544625,-0.0004081668068498073,-0.0004081668068482836,-0.0004081668068480782,-0.0004081668068441381,-0.00040816680684257225,-0.0004081668068343267,-0.0004081664527104809,-0.00040816645270576893,-0.00040816645270483944,-0.0004081664526988633,-0.0004081664526987164,-0.0004081664526958357,-0.00040816645269405396,-0.0004081664526876192,-0.00040816326525252656,-0.0004081632652372849,-0.0004081632652349698,-0.00040816326523431597,-0.00040816326523411794,-0.00040816326523251793,-0.0004081632652295376,-0.0004081632652283879,-1.636927886060576e-14,7.486502752840432e-15,1.1427745353827634e-14,1.2731794814383604e-14,7.8378231921863355,7.8378231921863515,7.837823202250427,7.837823202250468,7.838911274960814,7.8389112749608705,7.838911297627584,7.838911410980192,2.727142597836428e-08,2.7271429185759567e-08,2.79798152873819e-08,0.00040820045380040226,0.0004082004538106554,0.0004082004538153106,0.00040820045381683427,0.00040820045381703967,0.00040820045382097977,0.0004082004538225456,0.0004082004538307912,0.000408200807954637,0.00040820080795934895,0.00040820080796027844,0.00040820080796625456,0.00040820080796640147,0.0004082008079692822,0.0004082008079710639,0.00040820080797749866,0.0004082039954125913,0.000408203995427833,0.0004082039954301481,0.0004082039954308019,0.00040820399543099994,0.00040820399543259995,0.00040820399543558026,0.00040820399543673,0.0008163672606487486,0.0008163672606726044,0.0008163672606765456,0.0008163672606778497,7.838639559447,7.838639559447016,7.838639569511092,7.838639569511133,7.8397276422214786,7.839727642221535,7.839727664888249,7.8397277782408565,0.0008331109427660301,-0.08164079922902275
0.03,-0.0018558827527576432,-0.0018557403700104392,-0.0018557403700005851,-0.0018557366710861619,-0.0009278535403371896,-0.0009278535403366745,-0.0009278535403352757,-0.0009278535403347923,-0.0009278535403312002,-0.0009278535403305738,-0.0009278535403245641,-0.0009278535403193149,-0.0009278516914899115,-0.0009278516914891433,-0.0009278516914885616,-0.0009278516914870429,-0.0009278516914862342,-0.0009278516914850238,-0.0009278516914743493,-0.0009278516914712605,-0.0009278350507221212,-0.000927835050721559,-0.0009278350507176436,-0.0009278350507137495,-0.0009278350507124847,-0.0009278350507104007,-0.0009278350507087177,-0.0009278350506973388,-1.8427730027597053e-15,1.381695416069226e-15,4.2515457510600415e-15,1.4146314271599137e-14,7.755051874769663,7.7550518747696655,7.75505192724533,7.7550519272453755,7.757524260672606,7.757524260672607,7.75752437901155,7.7575249709336,1.4238274720400693e-07,1.4238275705810363e-07,1.460816714813403e-07,0.0009280292124204537,0.0009280292124209688,0.0009280292124223675,0.0009280292124228509,0.000928029212426443,0.0009280292124270695,0.0009280292124330791,0.0009280292124383284,0.0009280310612677317,0.0009280310612684999,0.0009280310612690817,0.0009280310612706003,0.000928031061271409,0.0009280310612726194,0.0009280310612832939,0.0009280310612863827,0.000928047702035522,0.0009280477020360842,0.0009280477020399996,0.0009280477020438937,0.0009280477020451585,0.0009280477020472425,0.0009280477020489255,0.0009280477020603044,0.0018558827527558005,0.001855882752759025,0.0018558827527618948,0.0018558827527717895,7.756907757522421,7.7569077575224235,7.756907809998088,7.7569078099981335,7.759380143425364,7.759380143425365,7.759380261764308,7.759380853686358,0.001913719679959653,-0.12373969474381048
0.04,-0.0033340266830489116,-0.003333562440643944,-0.0033335624406404026,-0.0033335503784402525,-0.0016667269432215435,-0.0016667269432205705,-0.0016667269432189525,-0.0016667269432187129,-0.0016667269432174405,-0.001666726943216171,-0.001666726943213405,-0.0016667269432118742,-0.0016667209157672838,-0.0016667209157603152,-0.0016667209157556536,-0.0016667209157531528,-0.0016667209157524663,-0.0016667209157523858,-0.0016667209157515,-0.0016667209157511813,-0.0016666666617712199,-0.0016666666617689548,-0.00166666666176449,-0.0016666666617641069,-0.0016666666617607601,-0.0016666666617600628,-0.0016666666617582836,-0.0016666666617549397,-8.42132408060135e-15,-3.655792404222546e-15,-2.0911291909038033e-15,8.157761879874163e-15,7.671112180851285,7.671112180851297,7.671112351626848,7.671112351626854,7.6755506230115,7.675550623011527,7.675551008844263,7.67555293935532,4.642424049675596e-07,4.642424085089976e-07,4.7630460865916505e-07,0.0016672997398273681,0.001667299739828341,0.0016672997398299591,0.0016672997398301987,0.0016672997398314712,0.0016672997398327406,0.0016672997398355066,0.0016672997398370375,0.0016673057672816278,0.0016673057672885964,0.001667305767293258,0.0016673057672957588,0.0016673057672964454,0.0016673057672965258,0.0016673057672974116,0.0016673057672977303,0.0016673600212776917,0.0016673600212799569,0.0016673600212844216,0.0016673600212848048,0.0016673600212881515,0.0016673600212888488,0.001667360021290628,0.001667360021293972,0.0033340266830404904,0.0033340266830452557,0.0033340266830468204,0.0033340266830570696,7.674446207534334,7.674446207534347,7.674446378309897,7.674446378309903,7.678884649694549,7.678884649694576,7.678885035527312,7.67888696603837,0.003474389171215902,-0.16673600718550807
0.05,-0.005264904829419922,-0.005263735144687787,-0.005263735144677417,-0.0052637047472362765,-0.002631730795511183,-0.0026317307955106076,-0.0026317307955099505,-0.002631730795509503,-0.002631730795506214,-0.0026317307955035342,-0.0026317307955018685,-0.0026317307954934824,-0.002631715611491564,-0.0026317156114877747,-0.002631715611485676,-0.0026317156114854267,-0.002631715611484287,-0.002631715611482036,-0.0026317156114782124,-0.002631715611475556,-0.0026315789276610975,-0.0026315789276579425,-0.0026315789276559463,-0.0026315789276516654,-0.002631578927651452,-0.0026315789276500734,-0.002631578927648194,-0.0026315789276458905,-1.3041536984421463e-14,-6.3250949683728555e-15,-5.526784004568742e-15,3.708058530542529e-14,7.585967604400464,7.58596760440049,7.585968033603427,7.585968033603469,7.592970025232057,7.592970025232058,7.59297099731033,7.592975863124377,1.1696847321343573e-06,1.1696847425045342e-06,1.200082183645118e-06,0.0026331740339087385,0.002633174033909314,0.002633174033909971,0.0026331740339104186,0.0026331740339137076,0.0026331740339163873,0.002633174033918053,0.002633174033926439,0.0026331892179283574,0.002633189217932147,0.0026331892179342455,0.002633189217934495,0.0026331892179356346,0.0026331892179378854,0.002633189217941709,0.0026331892179443654,0.002633325901758824,0.002633325901761979,0.0026333259017639753,0.002633325901768256,0.0026333259017684695,0.002633325901769848,0.0026333259017717278,0.002633325901774031,0.00526490482940688,0.005264904829413597,0.005264904829414395,0.005264904829457002,7.591232509229884,7.5912325092299096,7.591232938432847,7.5912329384328885,7.598234930061476,7.598234930061478,7.598235902139749,7.598240767953797,0.005545683779965509,-0.2106660884078823
0.06,-0.007663314205658587,-0.007660810214325691,-0.007660810214321736,-0.007660745124940602,-0.003830112242119406,-0.003830112242117131,-0.0038301122421139093,-0.0038301122421133737,-0.0038301122421106884,-0.003830112242108157,-0.0038301122421074947,-0.0038301122421069943,-0.0038300797438082074,-0.0038300797437980662,-0.00383007974379107,-0.0038300797437900306,-0.0038300797437886567,-0.0038300797437885105,-0.003830079743786063,-0.003830079743784035,-0.0038297871719864627,-0.003829787171984868,-0.0038297871719800945,-0.0038297871719795936,-0.0038297871719727822,-0.003829787171969658,-0.0038297871719665724,-0.0038297871719660355,-5.656523570410515e-15,-2.0545112512293424e-15,3.039474887922896e-15,1.89747244690378e-14,7.499580222721888,7.499580222721914,7.499581138639012,7.499581138639037,7.50976061437357,7.509760614373601,7.509762695203509,7.509773116451413,2.503991332895167e-06,2.5039913368503364e-06,2.5690807179843886e-06,0.003833201963539181,0.0038332019635414554,0.0038332019635446773,0.003833201963545213,0.003833201963547898,0.0038332019635504296,0.003833201963551092,0.0038332019635515923,0.003833234461850379,0.0038332344618605203,0.0038332344618675165,0.003833234461868556,0.00383323446186993,0.003833234461870076,0.0038332344618725238,0.0038332344618745517,0.003833527033672124,0.0038335270336737185,0.003833527033678492,0.003833527033678993,0.0038335270336858043,0.0038335270336889286,0.0038335270336920142,0.003833527033692551,0.00766331420565293,0.007663314205656532,0.007663314205661626,0.007663314205677561,7.507243536927547,7.5072435369275725,7.507244452844671,7.507244452844696,7.517423928579229,7.51742392857926,7.517426009409168,7.517436430657072,0.008160421798508621,-0.25556851160402416
0.07,-0.010544789690169722,-0.010539998783103625,-0.01053999878309361,-0.010539874208576513,-0.005269438906507852,-0.00526943890650101,-0.00526943890649984,-0.005269438906499766,-0.005269438906495908,-0.005269438906492095,-0.005269438906487354,-0.005269438906486932,-0.005269376742899848,-0.005269376742893743,-0.005269376742892127,-0.005269376742890937,-0.005269376742887773,-0.00526937674288711,-0.005269376742883689,-0.005269376742881368,-0.00526881703923108,-0.005268817039220727,-0.005268817039215165,-0.005268817039213057,-0.00526881703921255,-0.005268817039209477,-0.0052688170392050995,-0.005268817039202506,-8.924863590728311e-15,4.627224451598066e-15,7.40016685751871e-15,1.2412061847961432e-14,7.411910632187113,7.411910632187124,7.4119123778872975,7.411912377887318,7.425898869773832,7.425898869773854,7.425902850707375,7.425922800944736,4.790907066096889e-06,4.7909070761114475e-06,4.9154815932091894e-06,0.0052753507836618705,0.005275350783668712,0.005275350783669882,0.005275350783669956,0.005275350783673814,0.005275350783677627,0.005275350783682368,0.00527535078368279,0.005275412947269875,0.005275412947275979,0.005275412947277595,0.005275412947278785,0.005275412947281949,0.005275412947282612,0.005275412947286034,0.005275412947288355,0.005275972650938643,0.0052759726509489955,0.005275972650954557,0.005275972650956666,0.005275972650957172,0.005275972650960245,0.005275972650964623,0.005275972650967216,0.010544789690160797,0.010544789690174349,0.010544789690177123,0.010544789690182134,7.422455421877283,7.422455421877293,7.422457167577467,7.4224571675774875,7.436443659464001,7.4364436594640235,7.436447640397545,7.436467590634906,0.011353879281156254,-0.3014842488805642
0.08,-0.013925654661820464,-0.013917210706851377,-0.013917210706827332,-0.013916991063136442,-0.006957617196487638,-0.0069576171964712535,-0.006957617196470484,-0.006957617196470136,-0.006957617196468954,-0.006957617196465329,-0.00695761719646395,-0.006957617196461847,-0.006957507666298536,-0.006957507666296673,-0.006957507666296553,-0.006957507666296111,-0.0069575076662954285,-0.006957507666290133,-0.006957507666288686,-0.006957507666285715,-0.006956521350903301,-0.00695652135089648,-0.006956521350891992,-0.006956521350891073,-0.006956521350890958,-0.006956521350887692,-0.006956521350885387,-0.0069565213508767,-4.352228837127658e-15,3.530735269398109e-15,3.594331057223545e-15,1.3975989075702324e-14,7.322917880186231,7.322917880186261,7.322920942904981,7.322920942905013,7.341359433794977,7.341359433794999,7.341366449432471,7.341401635037014,8.443954969086787e-06,8.443954993131789e-06,8.663598684021528e-06,0.006968037465332826,0.00696803746534921,0.00696803746534998,0.0069680374653503276,0.00696803746535151,0.0069680374653551345,0.006968037465356514,0.006968037465358617,0.006968146995521928,0.006968146995523791,0.006968146995523911,0.006968146995524353,0.006968146995525035,0.006968146995530331,0.006968146995531778,0.006968146995534749,0.006969133310917163,0.006969133310923984,0.006969133310928472,0.0069691333109293905,0.006969133310929506,0.0069691333109327715,0.006969133310935077,0.0069691333109437635,0.013925654661816111,0.013925654661823994,0.013925654661824058,0.01392565466183444,7.336843534848051,7.336843534848081,7.336846597566801,7.336846597566833,7.355285088456797,7.355285088456819,7.355292104094291,7.355327289698835,0.015164015899285814,-0.34845686611459
0.09,-0.01782307605864651,-0.01780909683807192,-0.0178090968380714,-0.017808733051229222,-0.008902911901566666,-0.00890291190156453,-0.008902911901559308,-0.008902911901557575,-0.008902911901556145,-0.008902911901554861,-0.00890291190155475,-0.008902911901549912,-0.008902730634841946,-0.008902730634839349,-0.00890273063483672,-0.008902730634836119,-0.008902730634835997,-0.008902730634834844,-0.00890273063483427,-0.00890273063482373,-0.008901098069966099,-0.008901098069956506,-0.008901098069946961,-0.008901098069946692,-0.008901098069944645,-0.00890109806993947,-0.008901098069938536,-0.008901098069937344,-1.5906306734014607e-14,-2.55450612949562e-15,1.8754443755869113e-16,2.4152864614014036e-15,7.232559392930556,7.2325593929306455,7.232564436229552,7.232564436229587,7.2561149224017765,7.256114922401791,7.2561265354736735,7.2561848314309305,1.3979220574590612e-05,1.3979220575111029e-05,1.4343007417289e-05,0.008920164157079845,0.00892016415708198,0.008920164157087204,0.008920164157088937,0.008920164157090366,0.00892016415709165,0.008920164157091761,0.0089201641570966,0.008920345423804566,0.008920345423807163,0.00892034542380979,0.008920345423810393,0.008920345423810514,0.008920345423811668,0.008920345423812242,0.008920345423822782,0.008921977988680413,0.008921977988690006,0.00892197798869955,0.00892197798869982,0.008921977988701866,0.008921977988707041,0.008921977988707976,0.008921977988709168,0.017823076058630604,0.017823076058643958,0.0178230760586467,0.017823076058648926,7.250382468989202,7.250382468989292,7.250387512288198,7.250387512288233,7.273937998460423,7.273937998460437,7.27394961153232,7.274007907489577,0.019631725579787953,-0.3965327370693876
0.1,-0.022255124326514986,-0.022233094525141522,-0.022233094525132877,-0.022232520939439546,-0.011113967190434577,-0.011113967190433524,-0.01111396719042899,-0.011113967190427983,-0.011113967190426254,-0.01111396719042343,-0.011113967190418484,-0.011113967190412665,-0.011113681648807577,-0.011113681648797672,-0.011113681648796479,-0.011113681648796019,-0.011113681648795521,-0.011113681648791422,-0.011113681648791182,-0.011113681648784067,-0.011111109458578081,-0.011111109458578053,-0.011111109458576452,-0.011111109458573427,-0.01111110945857248,-0.011111109458570837,-0.011111109458570767,-0.011111109458559382,-1.9406115256942007e-14,-1.9505649397238085e-15,6.417755851154721e-15,1.9075311497987393e-14,7.140790898682494,7.140790898682515,7.140798797343887,7.140798797343902,7.17013571288916,7.1701357128892,7.170154010921653,7.170245961025839,2.2029801373463914e-05,2.2029801382109776e-05,2.2603387075440656e-05,0.01114115713608041,0.011141157136081463,0.011141157136085997,0.011141157136087003,0.011141157136088733,0.011141157136091557,0.011141157136096503,0.011141157136102321,0.011141442677707409,0.011141442677717314,0.011141442677718508,0.011141442677718967,0.011141442677719465,0.011141442677723564,0.011141442677723804,0.01114144267773092,0.011144014867936905,0.011144014867936933,0.011144014867938534,0.01114401486794156,0.011144014867942507,0.01114401486794415,0.011144014867944219,0.011144014867955604,0.02225512432649558,0.022255124326513036,0.022255124326521405,0.02225512432653406,7.1630460230090085,7.16304602300903,7.163053921670402,7.163053921670417,7.192390837215675,7.192390837215715,7.192409135248168,7.192501085352354,0.02480111508218196,-0.4457612790048432
