couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,elec,magn
0.0,5.04117187584728e-15,7.999999999999858,7.9999999999998765,7.9999999999999245,7.999999999999941,7.999999999999954,7.999999999999959,7.999999999999988,7.9999999999999885,15.999999999999822,7.999999999999853,7.999999999999871,7.999999999999919,7.999999999999936,7.9999999999999485,7.999999999999954,7.999999999999982,7.999999999999983,15.999999999999817,1.4221309203475192e-29,3.543977774364527e-18
0.01,-0.00010101051308391187,7.919806395940181,7.919806395940241,7.9198653171442,7.9198653171442475,7.919865317210975,7.919865318165404,7.919865320054737,7.919865320054798,7.919865320054803,7.919907406453265,7.919907406453325,7.919966327657284,7.919966327657331,7.919966327724059,7.919966328678488,7.919966330567821,7.919966330567882,7.9199663305678865,0.0001020316537788648,-0.020202185032598192
0.02,-0.000408170062556581,7.839217664538072,7.839217664538086,7.839455737426509,7.839455737426565,7.839455738528475,7.839455754272356,7.839455785438451,7.839455785438551,7.839625841665651,7.8396258346006285,7.839625834600643,7.8398639074890655,7.839863907489121,7.839863908591031,7.839863924334912,7.8398639555010075,7.839863955501107,7.840034011728207,0.000416513936261246,-0.040817686005242985
0.03,-0.0009278705394575521,7.758221531807311,7.758221531807344,7.758762652235597,7.758762652236336,7.758762657989688,7.758762740206598,7.758762902916163,7.758762902916186,7.759149439251174,7.759149402346768,7.759149402346801,7.759690522775054,7.759690522775793,7.759690528529145,7.7596906107460555,7.75969077345562,7.7596907734556435,7.760077309790631,0.0009566407428593405,-0.06186040200098406
0.04,-0.001666782374652648,7.676805171799909,7.676805171799924,7.677777013574497,7.677777013578881,7.677777032339117,7.677777300498646,7.677777830981011,7.677777830981018,7.678472074589487,7.678471954174562,7.678471954174577,7.679443795949149,7.679443795953533,7.679443814713769,7.679444082873299,7.679444613355663,7.67944461335567,7.680138856964139,0.0017364727312115743,-0.0833449049151433
0.05,-0.0026318704760614,7.594955173235474,7.594955173235505,7.596489302419276,7.5964893024368365,7.596489349708804,7.596490025650017,7.596491362109439,7.596491362109474,7.596491362109475,7.597587043711535,7.597587043711566,7.599121172895337,7.599121172912898,7.599121220184865,7.5991218961260785,7.5991232325855,7.599123232585535,7.599123232585536,0.00277100385222659,-0.10528648271348853
0.06,-0.0038304113105083752,7.5126575035260394,7.512657503526115,7.514889494167248,7.514889494222722,7.514889595431845,7.5148910432520335,7.5148939039397025,7.51489390393973,7.5148939039397336,7.5164879148365475,7.516487914836623,7.518719905477756,7.51871990553323,7.518720006742353,7.518721454562542,7.518724315250211,7.518724315250238,7.518724315250242,0.0040762338946618735,-0.12770118619147422
0.07,-0.0052700112301373135,7.429897469940587,7.429897469940627,7.432967020851031,7.432967020998821,7.432967214671216,7.432969986679484,7.432975459299695,7.432975459299706,7.435168728379971,7.4351674811707245,7.435167481170764,7.438237032081168,7.438237032228958,7.438237225901353,7.438239997909621,7.438245470529832,7.438245470529843,7.440438739610108,0.005669247677832231,-0.1506058795788376
0.08,-0.00695862615388905,7.34665967762316,7.34665967762317,7.350710729753806,7.350710730101735,7.350711071507808,7.35071596111798,7.350725605003331,7.350725605003353,7.353620505851541,7.353618303777049,7.353618303777059,7.357669355907695,7.357669356255624,7.357669697661697,7.357674587271869,7.3576842311572195,7.357684231157242,7.36057913200543,0.007568301604393658,-0.17401829537403
0.09,-0.008904582725785407,7.262927984142308,7.262927984142347,7.268108838011115,7.2681088387569135,7.268109404079873,7.26811750665351,7.268133469327613,7.2681334693276805,7.2681334693276805,7.271832566868093,7.271832566868132,7.277013420736901,7.277013421482699,7.277013986805658,7.277022089379296,7.277038052053398,7.277038052053466,7.277038052053466,0.009792918373292877,-0.1979570938387086
0.1,-0.011116601085199964,7.178685450210079,7.178685450210096,7.185148882731661,7.1851488842169,7.1851497753164075,7.185162558124728,7.185187708076968,7.185187708077013,7.18980782192827,7.1898020512952785,7.189802051295295,7.196265483816861,7.196265485302099,7.196266376401607,7.196279159209928,7.1963043091621675,7.196304309162213,7.20092442301347,0.012363990753623886,-0.2224419276346167
0.11,-0.01360381939849011,7.093914286161032,7.093914286161039,7.1018176661026935,7.101817668889363,7.101819018741495,7.101838401400013,7.101876479131693,7.101876479131719,7.101876479131743,7.107518105559522,7.107518105559529,7.115421485501184,7.115421488287853,7.1154228381399856,7.115442220798503,7.1154802985301835,7.115480298530209,7.115480298530233,0.015303895435310697,-0.24749351214470525
0.12,-0.016375820318546362,7.008595793728975,7.008595793728983,7.018101194872952,7.018101199851728,7.018103178755064,7.018131625703259,7.0181874153728,7.018187415372828,7.018187415372832,7.024971614047521,7.024971614047529,7.034477015191499,7.034477020170274,7.0344789990736105,7.034507446021806,7.034563235691347,7.034563235691374,7.034563235691379,0.018636618104634312,-0.2731337020885216
0.13,-0.0194426595569254,6.922710302595156,6.922710302595164,6.933984613519573,6.933984622058018,6.933987444711914,6.93402807156612,6.934107595862677,6.934107595862697,6.934107595862714,6.942152962152082,6.94215296215209,6.953427273076498,6.953427281614943,6.953430104268839,6.953470731123045,6.953550255419603,6.953550255419622,6.953550255419639,0.022387891044480513,-0.2993855751201875
0.14,-0.022814896774841293,6.836237101110888,6.836237101110958,6.849452130305048,6.849452144448387,6.849456078021871,6.8495127739318775,6.84962351515457,6.849623515154596,6.859077773091791,6.85905199788573,6.8590519978858,6.872267027079889,6.872267041223228,6.872270974796712,6.872327670706719,6.872438411929411,6.872438411929437,6.881892669866632,0.026585344734183208,-0.32627352318741737
0.15,-0.026503629023008356,6.749154360511013,6.749154360511029,6.764486935313158,6.764486958053506,6.764492331382052,6.764569899878869,6.7647210505914,6.764721050591402,6.764721050591429,6.775657989534022,6.775657989534038,6.790990564336167,6.790990587076514,6.790995960405061,6.791073528901878,6.791224679614409,6.791224679614411,6.791224679614437,0.03125867512601967,-0.35382335253412645
0.16,-0.030520526987885432,6.661439051837,6.66143905183702,6.679071109417053,6.679071145049917,6.679078359116566,6.679182680363317,6.679385427444873,6.679385427444897,6.679385427444916,6.691959578824886,6.691959578824905,6.709591636404938,6.709591672037803,6.709598886104452,6.709703207351202,6.709905954432759,6.709905954432783,6.709905954432801,0.03643982850962948,-0.382062393349819
0.17,-0.03487787433293441,6.5730668546712625,6.573066854671267,6.59318552297105,6.593185577563627,6.593195117444397,6.593333335302986,6.5936011817316045,6.593601181731608,6.608008044496899,6.607944729004197,6.607944729004202,6.628063397303984,6.628063451896562,6.628072991777332,6.6282112096359205,6.628479056064539,6.628479056064543,6.642885918829834,0.04216320614770764,-0.411019620209042
0.18,-0.0395886104590572,6.484012056647797,6.4840120566478125,6.506809722829711,6.506809804832346,6.506822253312673,6.507002991238808,6.507352120531367,6.507352120531389,6.507352120531415,6.523600667106853,6.523600667106869,6.546398333288768,6.546398415291403,6.5464108637717295,6.546591601697865,6.546940730990424,6.546940730990446,6.546940730990472,0.04846589118332651,-0.44072578460767015
0.19,-0.04466637704916544,6.394247442541666,6.394247442541696,6.419921806075536,6.419921927114631,6.419937980214621,6.420171590706453,6.420621279617287,6.420621279617338,6.420621279617341,6.438913819590832,6.438913819590861,6.464588183124701,6.464588304163796,6.464604357263786,6.464837967755619,6.465287656666453,6.465287656666503,6.465287656666507,0.055387900689730554,-0.4712135610939674
